Questions,Answers
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to Dum-E about Mark-2 Trial-1 fire safety?","Dummy, look alive. You're on standby for fire safety."
"In the Malibu Workshop scene, what did Tony say to Dum-E about Mark-2 Trial-1 fire safety?","Dummy, look alive. You're on standby for fire safety."
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to Dummy about Mark-2 Trial-1 fire safety?","Dummy, look alive. You're on standby for fire safety."
"In the Malibu Workshop scene, what did Anthony Edward Stark say to Dummy about Mark-2 Trial-1 fire safety?","Dummy, look alive. You're on standby for fire safety."
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to Dum-E about Mark-2 Trial-1 fire safety?","Dummy, look alive. You're on standby for fire safety."
"In the Malibu Workshop scene, what did Anthony Edward Stark say to Dum-E about Mark-2 Trial-1 fire safety?","Dummy, look alive. You're on standby for fire safety."
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Iron Man say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Iron Man say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Mr. Stark say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Mr. Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Tony Stark say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Tony Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Tony say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Tony say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Anthony Edward Stark say to Jarvis about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the Malibu Workshop scene, what did Anthony Edward Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-1 foot thrusters?",Activate hand controls. We're gonna start off nice and easy. We're gonna see if 10% thrust capacity achieves lift.
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Iron Man say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Iron Man say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Mr. Stark say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Mr. Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Tony Stark say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Tony Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Tony say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Tony say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Anthony Edward Stark say to Jarvis about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the Malibu Workshop scene, what did Anthony Edward Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 fire safety?","Day 11, test 37, configuration 2.0. For lack of a better option, Dummy is still on fire safety. If you douse me again, and I'm not on fire, I'm donating you to a city college. Please don't follow me around with it, either, 'cause I feel like I'm gonna catch on fire spontaneously. Just stand down! If something happens, then come in."
"In the movie Iron Man, in the Malibu Living Room scene, what did Rescue say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Rescue say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Rescue say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Rescue say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Rescue say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Rescue say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Rescue say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Rescue say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Rescue say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Rescue say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Miss. Potts say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Miss. Potts say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Miss. Potts say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Miss. Potts say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Miss. Potts say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Miss. Potts say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Miss. Potts say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Miss. Potts say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Miss. Potts say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Miss. Potts say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper Potts say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper Potts say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper Potts say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper Potts say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper Potts say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper Potts say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper Potts say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper Potts say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper Potts say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper Potts say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Pepper say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Pepper say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Virginia Potts say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Virginia Potts say to Iron Man about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Virginia Potts say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Virginia Potts say to Mr. Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Virginia Potts say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Virginia Potts say to Tony Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Virginia Potts say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Virginia Potts say to Tony about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Living Room scene, what did Virginia Potts say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the Malibu Living Room scene, what did Virginia Potts say to Anthony Edward Stark about Over-under on the stock drop?",Fifty-six and a half
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Iron Man say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Iron Man say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Mr. Stark say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Mr. Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Tony Stark say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Tony Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Tony say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Tony say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Anthony Edward Stark say to Jarvis about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the Malibu Workshop scene, what did Anthony Edward Stark say to Just A Rather Very Intelligent System about Mark-2 Trial-2 foot thrusters?","Seriously, just gonna start off with 1% thrust capacity. And again, let's bring it up to 2.5."
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the Malibu Workshop scene, what did Iron Man say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the Malibu Workshop scene, what did Mr. Stark say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the Malibu Workshop scene, what did Tony Stark say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the Malibu Workshop scene, what did Tony say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the movie Iron Man, in the Malibu Workshop scene, what did Anthony Edward Stark say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the Malibu Workshop scene, what did Anthony Edward Stark say to himself about Mark-2 Trial-2 results?","Yeah, I can fly."
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to Jarvis about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the Malibu Workshop scene, what did Iron Man say to Jarvis about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the movie Iron Man, in the Malibu Workshop scene, what did Iron Man say to Just A Rather Very Intelligent System about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the Malibu Workshop scene, what did Iron Man say to Just A Rather Very Intelligent System about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to Jarvis about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the Malibu Workshop scene, what did Mr. Stark say to Jarvis about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the movie Iron Man, in the Malibu Workshop scene, what did Mr. Stark say to Just A Rather Very Intelligent System about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the Malibu Workshop scene, what did Mr. Stark say to Just A Rather Very Intelligent System about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to Jarvis about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the Malibu Workshop scene, what did Tony Stark say to Jarvis about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony Stark say to Just A Rather Very Intelligent System about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the Malibu Workshop scene, what did Tony Stark say to Just A Rather Very Intelligent System about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the movie Iron Man, in the Malibu Workshop scene, what did Tony say to Jarvis about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
"In the Malibu Workshop scene, what did Tony say to Jarvis about Mark-2 Flight trials?","Engage Heads Up Display. Import all preferences from home interface. All right, what do you say? Can we start the virtual walk-around? Importing preferences and calibrating virtual environment. Do a check on control surfaces. Yeah. Tell you what. Do a weather and ATC check. Start listening in on ground control. Jarvis! Sometimes you got to run before you can walk."
